added_route_id,trip_id
116,44931361
117,44931361
116,44931363
117,44931363
116,44931366
117,44931366
116,44931368
117,44931368
116,44931371
117,44931371
116,44931373
117,44931373
116,44931376
117,44931376
116,44931378
117,44931378
116,44931381
117,44931381
116,44931382
117,44931382
116,44931385
117,44931385
116,44931338
117,44931338
116,44931339
117,44931339
116,44931340
117,44931340
116,44931341
117,44931341
116,44931342
117,44931342
116,44931343
117,44931343
116,44931344
117,44931344
116,44931345
117,44931345
116,44931346
117,44931346
116,44931347
117,44931347
116,44931348
117,44931348
116,44931349
117,44931349
214,44811114
216,44811114
214,44811121
216,44811121
214,44811144
216,44811144
214,44811146
216,44811146
214,44811150
216,44811150
214,44811153
216,44811153
214,44811155
216,44811155
214,44811156
216,44811156
214,44811218
216,44811218
214,44811229
216,44811229
214,44811251
216,44811251
214,44811257
216,44811257
214,44811288
216,44811288
214,44811326
216,44811326
214,44811328
216,44811328
214,44811334
216,44811334
214,44811336
216,44811336
214,44811351
216,44811351
214,44811355
216,44811355
214,44811359
216,44811359
214,44811363
216,44811363
214,44811365
216,44811365
214,44811373
216,44811373
214,44811481
216,44811481
214,44811482
216,44811482
214,44811488
216,44811488
214,44811504
216,44811504
214,44811505
216,44811505
214,44811506
216,44811506
214,44811507
216,44811507
214,44811512
216,44811512
214,44811516
216,44811516
214,44811124
216,44811124
214,44811327
216,44811327
214,44811329
216,44811329
214,44811335
216,44811335
214,44811343
216,44811343
214,44811485
216,44811485
214,44811489
216,44811489
214,44811493
216,44811493
214,44811494
216,44811494
214,44811499
216,44811499
214,44811500
216,44811500
214,44811501
216,44811501
214,44811502
216,44811502
214,44811513
216,44811513
214,44813820
216,44813820
214,44813824
216,44813824
214,44813841
216,44813841
214,44813842
216,44813842
214,44813844
216,44813844
214,44813855
216,44813855
214,44813864
216,44813864
214,44813875
216,44813875
214,44813877
216,44813877
214,44813880
216,44813880
214,44813884
216,44813884
214,44813956
216,44813956
214,44813958
216,44813958
214,44813960
216,44813960
214,44813964
216,44813964
214,44813965
216,44813965
214,44813967
216,44813967
214,44813969
216,44813969
214,44813973
216,44813973
214,44813975
216,44813975
214,44813977
216,44813977
214,44814064
216,44814064
214,44814086
216,44814086
214,44814088
216,44814088
214,44851071
216,44851071
214,44851078
216,44851078
214,44851101
216,44851101
214,44851103
216,44851103
214,44851107
216,44851107
214,44851110
216,44851110
214,44851112
216,44851112
214,44851113
216,44851113
214,44851175
216,44851175
214,44851186
216,44851186
214,44851208
216,44851208
214,44851214
216,44851214
214,44851245
216,44851245
214,44851283
216,44851283
214,44851285
216,44851285
214,44851291
216,44851291
214,44851293
216,44851293
214,44851308
216,44851308
214,44851312
216,44851312
214,44851316
216,44851316
214,44851320
216,44851320
214,44851322
216,44851322
214,44851330
216,44851330
214,44851438
216,44851438
214,44851439
216,44851439
214,44851445
216,44851445
214,44851461
216,44851461
214,44851462
216,44851462
214,44851463
216,44851463
214,44851464
216,44851464
214,44851469
216,44851469
214,44851473
216,44851473
214,44851081
216,44851081
214,44851284
216,44851284
214,44851286
216,44851286
214,44851292
216,44851292
214,44851300
216,44851300
214,44851442
216,44851442
214,44851446
216,44851446
214,44851450
216,44851450
214,44851451
216,44851451
214,44851456
216,44851456
214,44851457
216,44851457
214,44851458
216,44851458
214,44851459
216,44851459
214,44851470
216,44851470
214,44808446
216,44808446
214,44808467
216,44808467
214,44808468
216,44808468
214,44808469
216,44808469
214,44808470
216,44808470
214,44808471
216,44808471
214,44808472
216,44808472
214,44808473
216,44808473
214,44808474
216,44808474
214,44808497
216,44808497
214,44808498
216,44808498
214,44808510
216,44808510
214,44808529
216,44808529
24,44914063
27,44914063
24,44914065
27,44914065
24,44914067
27,44914067
24,44914069
27,44914069
24,44914071
27,44914071
24,44914073
27,44914073
24,44916712
27,44916712
24,44916713
27,44916713
24,44916714
27,44916714
24,44916715
27,44916715
24,44916716
27,44916716
24,44916717
27,44916717
24,44916718
27,44916718
24,44916719
27,44916719
24,44916720
27,44916720
24,44916721
27,44916721
24,44916722
27,44916722
24,44916723
27,44916723
24,44916724
27,44916724
24,44916725
27,44916725
24,44916726
27,44916726
24,44916727
27,44916727
24,44916728
27,44916728
24,44916729
27,44916729
24,44916730
27,44916730
24,44916919
27,44916919
24,44916921
27,44916921
24,44916923
27,44916923
24,44916925
27,44916925
24,44916927
27,44916927
24,44916929
27,44916929
24,44916931
27,44916931
24,44918065
27,44918065
24,44918218
27,44918218
24,44918323
27,44918323
24,44918324
27,44918324
24,44918325
27,44918325
24,44918326
27,44918326
24,44918327
27,44918327
24,44918328
27,44918328
24,44918329
27,44918329
24,44918330
27,44918330
24,44918331
27,44918331
24,44918332
27,44918332
24,45042380
27,45042380
24,45042381
27,45042381
24,45042382
27,45042382
24,45042383
27,45042383
24,45042384
27,45042384
24,45042385
27,45042385
24,45042386
27,45042386
24,45042387
27,45042387
24,45042388
27,45042388
24,45042389
27,45042389
24,45042390
27,45042390
24,45042391
27,45042391
24,45042392
27,45042392
24,45042393
27,45042393
24,45042394
27,45042394
24,45042395
27,45042395
24,45042396
27,45042396
24,45042397
27,45042397
24,45042398
27,45042398
24,45042587
27,45042587
24,45042589
27,45042589
24,45042591
27,45042591
24,45042593
27,45042593
24,45042595
27,45042595
24,45042597
27,45042597
24,45042599
27,45042599
24,44914062
27,44914062
24,44914064
27,44914064
24,44914066
27,44914066
24,44914068
27,44914068
24,44914070
27,44914070
24,44914072
27,44914072
24,44916690
27,44916690
24,44916691
27,44916691
24,44916692
27,44916692
24,44916693
27,44916693
24,44916694
27,44916694
24,44916695
27,44916695
24,44916696
27,44916696
24,44916697
27,44916697
24,44916698
27,44916698
24,44916699
27,44916699
24,44916700
27,44916700
24,44916701
27,44916701
24,44916703
27,44916703
24,44916704
27,44916704
24,44916705
27,44916705
24,44916706
27,44916706
24,44916707
27,44916707
24,44916708
27,44916708
24,44916709
27,44916709
24,44916710
27,44916710
24,44916920
27,44916920
24,44916922
27,44916922
24,44916924
27,44916924
24,44916926
27,44916926
24,44916928
27,44916928
24,44916930
27,44916930
24,44916711
27,44916711
24,44918098
27,44918098
24,44918312
27,44918312
24,44918313
27,44918313
24,44918314
27,44918314
24,44918315
27,44918315
24,44918316
27,44918316
24,44918317
27,44918317
24,44918318
27,44918318
24,44918319
27,44918319
24,44918320
27,44918320
24,44918321
27,44918321
24,44918322
27,44918322
24,45042358
27,45042358
24,45042359
27,45042359
24,45042360
27,45042360
24,45042361
27,45042361
24,45042362
27,45042362
24,45042363
27,45042363
24,45042364
27,45042364
24,45042365
27,45042365
24,45042366
27,45042366
24,45042367
27,45042367
24,45042368
27,45042368
24,45042369
27,45042369
24,45042371
27,45042371
24,45042372
27,45042372
24,45042373
27,45042373
24,45042374
