service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS12020-hba10ns1-Wdy-02,0,1,1,1,1,0,0,20200218,20200221
BUS12020-hbb10ns1-Wdy-02,0,1,1,1,1,0,0,20200218,20200221
BUS12020-hbc10ns1-Wdy-02,0,1,1,1,1,0,0,20200218,20200221
BUS12020-hbf10ns1-Wdy-02,0,1,1,1,1,0,0,20200218,20200221
BUS12020-hbg10ns1-Wdy-02,0,1,1,1,1,0,0,20200218,20200221
BUS12020-hbl10ns1-Wdy-02,0,1,1,1,1,0,0,20200218,20200221
BUS12020-hbq10ns1-Wdy-02,0,1,1,1,1,0,0,20200218,20200221
BUS12020-hbs10ns1-Wdy-02,0,1,1,1,1,0,0,20200218,20200221
BUS12020-hbt10ns1-Wdy-02,0,1,1,1,1,0,0,20200218,20200221
BUS12020-htn10ns1-Wdy-02,0,1,1,1,1,0,0,20200218,20200221
Boat-F1-Frd,0,0,0,0,1,0,0,20200110,20200313
Boat-F1-Wkd,1,1,1,1,0,0,0,20200109,20200312
Boat-F4-Snd,0,0,0,0,0,0,1,20200112,20200308
Boat-F4-Std,0,0,0,0,0,1,0,20200111,20200314
Boat-F4-Wkd,1,1,1,1,1,0,0,20200109,20200313
CR-Sa-Fairmount-Fall-19,0,0,0,0,0,1,0,20200111,20200314
CR-Sa-Fairmount-Fall-19C0,0,0,0,0,0,0,0,20200217,20200217
CR-Sa-Fitchburg-Fall-19,0,0,0,0,0,1,0,20200125,20200314
CR-Sa-Fitchburg-Fall-19-FtgGLX,0,0,0,0,0,1,0,20200111,20200118
CR-Sa-Fitchburg-Fall-19C0,0,0,0,0,0,0,0,20200217,20200217
CR-Sa-Franklin-Fall-19,0,0,0,0,0,1,0,20200111,20200314
CR-Sa-Franklin-Fall-19C0,0,0,0,0,0,0,0,20200217,20200217
CR-Sa-Greenbush-Fall-19,0,0,0,0,0,1,0,20200111,20200314
CR-Sa-Greenbush-Fall-19C0,0,0,0,0,0,0,0,20200217,20200217
CR-Sa-Haverhill-Fall-19,0,0,0,0,0,1,0,20200111,20200314
CR-Sa-Haverhill-Fall-19C0,0,0,0,0,0,0,0,20200217,20200217
CR-Sa-Kingston-Fall-19,0,0,0,0,0,1,0,20200111,20200314
CR-Sa-Kingston-Fall-19C0,0,0,0,0,0,0,0,20200217,20200217
CR-Sa-Lowell-Fall-19,0,0,0,0,0,1,0,20200111,20200314
