added_route_id,trip_id
116,42998134
117,42998134
116,42998136
117,42998136
116,42998139
117,42998139
116,42998141
117,42998141
116,42998144
117,42998144
116,42998146
117,42998146
116,42998149
117,42998149
116,42998151
117,42998151
116,42998154
117,42998154
116,42998155
117,42998155
116,42998158
117,42998158
116,42999644
117,42999644
116,42999646
117,42999646
116,42999649
117,42999649
116,42999651
117,42999651
116,42999654
117,42999654
116,42999656
117,42999656
116,42999659
117,42999659
116,42999661
117,42999661
116,42999664
117,42999664
116,42999665
117,42999665
116,42999668
117,42999668
116,42998111
117,42998111
116,42998112
117,42998112
116,42998113
117,42998113
116,42998114
117,42998114
116,42998115
117,42998115
116,42998116
117,42998116
116,42998117
117,42998117
116,42998118
117,42998118
116,42998119
117,42998119
116,42998120
117,42998120
116,42998121
117,42998121
116,42998122
117,42998122
116,42999621
117,42999621
116,42999622
117,42999622
116,42999623
117,42999623
116,42999624
117,42999624
116,42999625
117,42999625
116,42999626
117,42999626
116,42999627
117,42999627
116,42999628
117,42999628
116,42999629
117,42999629
116,42999630
117,42999630
116,42999631
117,42999631
116,42999632
117,42999632
214,42950133
216,42950133
214,42950156
216,42950156
214,42950157
216,42950157
214,42950158
216,42950158
214,42950159
216,42950159
214,42950160
216,42950160
214,42950161
216,42950161
214,42950162
216,42950162
214,42950163
216,42950163
214,42950186
216,42950186
214,42950187
216,42950187
214,42950199
216,42950199
214,42950220
216,42950220
214,42951724
216,42951724
214,42951731
216,42951731
214,42951754
216,42951754
214,42951756
216,42951756
214,42951760
216,42951760
214,42951763
216,42951763
214,42951765
216,42951765
214,42951766
216,42951766
214,42951828
216,42951828
214,42951839
216,42951839
214,42951861
216,42951861
214,42951867
216,42951867
214,42951898
216,42951898
214,42951936
216,42951936
214,42951938
216,42951938
214,42951944
216,42951944
214,42951946
216,42951946
214,42951961
216,42951961
214,42951965
216,42951965
214,42951969
216,42951969
214,42951973
216,42951973
214,42951975
216,42951975
214,42951983
216,42951983
214,42952091
216,42952091
214,42952092
216,42952092
214,42952098
216,42952098
214,42952114
216,42952114
214,42952115
216,42952115
214,42952116
216,42952116
214,42952117
216,42952117
214,42952122
216,42952122
214,42952126
216,42952126
214,42951734
216,42951734
214,42951937
216,42951937
214,42951939
216,42951939
214,42951945
216,42951945
214,42951953
216,42951953
214,42952095
216,42952095
214,42952099
216,42952099
214,42952103
216,42952103
214,42952104
216,42952104
214,42952109
216,42952109
214,42952110
216,42952110
214,42952111
216,42952111
214,42952112
216,42952112
214,42952123
216,42952123
214,42756026
216,42756026
214,42756030
216,42756030
214,42756047
216,42756047
214,42756048
216,42756048
214,42756050
216,42756050
214,42756061
216,42756061
214,42756070
216,42756070
214,42756081
216,42756081
214,42756083
216,42756083
214,42756086
216,42756086
214,42756090
216,42756090
214,42756162
216,42756162
214,42756164
216,42756164
214,42756166
216,42756166
214,42756170
216,42756170
214,42756171
216,42756171
214,42756173
216,42756173
214,42756175
216,42756175
214,42756179
216,42756179
214,42756181
216,42756181
214,42756183
216,42756183
214,42756270
216,42756270
214,42756292
216,42756292
214,42756294
216,42756294
214,42755217
216,42755217
214,42755224
216,42755224
214,42755247
216,42755247
214,42755249
216,42755249
214,42755253
216,42755253
214,42755256
216,42755256
214,42755258
216,42755258
214,42755259
216,42755259
214,42755321
216,42755321
214,42755332
216,42755332
214,42755354
216,42755354
214,42755360
216,42755360
214,42755391
216,42755391
214,42755429
216,42755429
214,42755431
216,42755431
214,42755437
216,42755437
214,42755439
216,42755439
214,42755454
216,42755454
214,42755458
216,42755458
214,42755462
216,42755462
214,42755466
216,42755466
214,42755468
216,42755468
214,42755476
216,42755476
214,42755584
216,42755584
214,42755585
216,42755585
214,42755591
216,42755591
214,42755607
216,42755607
214,42755608
216,42755608
214,42755609
216,42755609
214,42755610
216,42755610
214,42755615
216,42755615
214,42755619
216,42755619
214,42755227
216,42755227
214,42755430
216,42755430
214,42755432
216,42755432
214,42755438
216,42755438
214,42755446
216,42755446
214,42755588
216,42755588
214,42755592
216,42755592
214,42755596
216,42755596
214,42755597
216,42755597
214,42755602
216,42755602
214,42755603
216,42755603
214,42755604
216,42755604
214,42755605
216,42755605
214,42755616
216,42755616
214,42759331
216,42759331
214,42759354
216,42759354
214,42759355
216,42759355
214,42759356
216,42759356
214,42759357
216,42759357
214,42759358
216,42759358
214,42759359
216,42759359
214,42759360
216,42759360
214,42759361
216,42759361
214,42759384
216,42759384
214,42759385
216,42759385
214,42759397
216,42759397
214,42759418
216,42759418
24,42987573
27,42987573
24,42987575
27,42987575
24,42987577
27,42987577
24,42987579
27,42987579
24,42987581
27,42987581
24,42987583
27,42987583
24,42980648
27,42980648
24,42980649
27,42980649
24,42980650
27,42980650
24,42980651
27,42980651
24,42980652
27,42980652
24,42980653
27,42980653
24,42980654
27,42980654
24,42980655
27,42980655
24,42980656
27,42980656
24,42980657
27,42980657
24,42980658
27,42980658
24,42980659
27,42980659
24,42980660
27,42980660
24,42980661
27,42980661
24,42980662
27,42980662
24,42980663
27,42980663
24,42980664
27,42980664
24,42980665
27,42980665
24,42980666
27,42980666
24,42980858
27,42980858
24,42980860
27,42980860
24,42980862
27,42980862
24,42980864
27,42980864
24,42980866
27,42980866
24,42980868
27,42980868
24,42980870
27,42980870
24,42986123
27,42986123
24,42986278
27,42986278
24,42986411
27,42986411
24,42986412
27,42986412
24,42986413
27,42986413
24,42986414
27,42986414
24,42986415
27,42986415
24,42986416
27,42986416
24,42986417
27,42986417
24,42986418
27,42986418
24,42986419
27,42986419
24,42986420
27,42986420
24,42981980
27,42981980
24,42981981
27,42981981
24,42981982
27,42981982
24,42981983
27,42981983
24,42981984
27,42981984
24,42981985
27,42981985
24,42981986
27,42981986
24,42981987
27,42981987
24,42981988
27,42981988
24,42981989
27,42981989
24,42981990
27,42981990
24,42981991
27,42981991
24,42981992
27,42981992
24,42981993
27,42981993
24,42981994
27,42981994
24,42981995
27,42981995
24,42981996
27,42981996
24,42981997
27,42981997
24,42981998
27,42981998
24,42982190
27,42982190
24,42982192
27,42982192
24,42982194
27,42982194
24,42982196
27,42982196
24,42982198
27,42982198
24,42982200
27,42982200
24,42982202
27,42982202
24,42983628
27,42983628
24,42983630
27,42983630
24,42983632
27,42983632
24,42983634
27,42983634
24,42983636
27,42983636
24,42983638
27,42983638
24,42987572
27,42987572
24,42987574
27,42987574
24,42987576
27,42987576
24,42987578
27,42987578
24,42987580
27,42987580
24,42987582
27,42987582
24,42980626
27,42980626
24,42980627
27,42980627
24,42980628
27,42980628
24,42980629
27,42980629
24,42980630
27,42980630
24,42980631
27,42980631
24,42980632
27,42980632
24,42980633
27,42980633
24,42980634
27,42980634
24,42980635
27,42980635
24,42980636
27,42980636
24,42980637
27,42980637
24,42980639
27,42980639
24,42980640
27,42980640
24,42980641
27,42980641
24,42980642
27,42980642
24,42980643
27,42980643
24,42980644
27,42980644
24,42980645
27,42980645
24,42980646
27,42980646
24,42980859
27,42980859
24,42980861
27,42980861
24,42980863
27,42980863
24,42980865
27,42980865
24,42980867
27,42980867
24,42980869
27,42980869
24,42980647
27,42980647
24,42986156
27,42986156
24,42986400
27,42986400
24,42986401
27,42986401
24,42986402
27,42986402
24,42986403
27,42986403
24,42986404
27,42986404
24,42986405
27,42986405
24,42986406
27,42986406
24,42986407
27,42986407
24,42986408
27,42986408
24,42986409
27,42986409
24,42986410
27,42986410
24,42981958
27,42981958
24,42981959
27,42981959
24,42981960
27,42981960
24,42981961
27,42981961
24,42981962
27,42981962
24,42981963
27,42981963
24,42981964
27,42981964
24,42981965
27,42981965
24,42981966
27,42981966
24,42981967
27,42981967
24,42981968
27,42981968
24,42981969
27,42981969
24,42981971
27,42981971
24,42981972
27,42981972
24,42981973
27,42981973
24,42981974
27,42981974
24,42981975
27,42981975
24,42981976
27,42981976
24,42981977
27,42981977
24,42981978
27,42981978
24,42982191
27,42982191
24,42982193
