route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,route_fare_class,line_id,route
89,1,,Clarendon Hill or Davis - Sullivan,,,,,,,,,
8993,1,,Clarendon Hill - Haymarket,,,,,,,,,
90,1,,Davis - Assembly,,,,,,,,,
91,1,,"Sullivan - Central Square, Cambridge",,,,,,,,,
92,1,,Sullivan - Downtown Boston,,,,,,,,,
93,1,,Sullivan - Downtown Boston,,,,,,,,,
94,1,,Medford Square - Davis,,,,,,,,,
95,1,,West Medford or Arlington Center - Sullivan,,,,,,,,,
96,1,,Medford Square - Harvard,,,,,,,,,
97,1,,Malden Center - Wellington,,,,,,,,,
99,1,,"Woodland Road, Stoneham - Wellington",,,,,,,,,
100,1,,Elm Street - Wellington,,,,,,,,,
101,1,,Malden Center - Sullivan via Winter Hill,,,,,,,,,
104,1,,Malden Center - Sullivan via Ferry Street,,,,,,,,,
105,1,,Malden Center - Sullivan via Newland Street Housing,,,,,,,,,
106,1,,"Lebanon Street, Malden - Wellington",,,,,,,,,
108,1,,Linden Square - Wellington,,,,,,,,,
109,1,,Linden Square - Sullivan,,,,,,,,,
110,1,,Wonderland - Wellington,,,,,,,,,
111,1,,Woodlawn - Haymarket,,,,,,,,,
112,1,,Wellington - Wood Island,,,,,,,,,
114,1,,Chelsea - Maverick,,,,,,,,,
116,1,,Wonderland - Maverick via Revere Street,,,,,,,,,
116117,1,,Bellingham Square - Maverick,,,,,,,,,
117,1,,Wonderland - Maverick via Beach Street,,,,,,,,,
119,1,,Northgate Shopping Center - Beachmont,,,,,,,,,
120,1,,Orient Heights - Jeffries Point,,,,,,,,,
121,1,,Wood Island - Maverick,,,,,,,,,
131,1,,Melrose Highlands - Oak Grove,,,,,,,,,
132,1,,Redstone Shopping Center - Malden Center,,,,,,,,,
134,1,,North Woburn - Wellington,,,,,,,,,
136,1,,Reading Depot - Malden Center via Lowell Street,,,,,,,,,
137,1,,Reading Depot - Malden Center via North Avenue,,,,,,,,,
170,1,,Waltham - Dudley,,,,,,,,,
171,1,,Logan Airport - Dudley,,,,,,,,,
195,1,,Shattuck Hospital - Downtown Boston,,,,,,,,,
201,1,,Fields Corner Loop via Neponset Ave,,,,,,,,,
202,1,,Fields Corner Loop via Adams Street,,,,,,,,,
210,1,,Quincy Center - Fields Corner,,,,,,,,,
211,1,,Quincy Center - Squantum,,,,,,,,,
212,1,,Quincy Center - North Quincy,,,,,,,,,
214,1,,Germantown - Quincy Center,,,,,,,,,
214216,1,,Houghs Neck - Quincy Center via Germantown,,,,,,,,,
215,1,,Quincy Center - Ashmont via West Quincy,,,,,,,,,
216,1,,Houghs Neck - Quincy Center,,,,,,,,,
217,1,,Quincy Center - Ashmont via Wollaston,,,,,,,,,
220,1,,Hingham Depot - Quincy Center,,,,,,,,,
221,1,,Fort Point - Quincy Center,,,,,,,,,
222,1,,East Weymouth - Quincy Center,,,,,,,,,
225,1,,Weymouth Landing - Quincy Center,,,,,,,,,
226,1,,Columbian Square - Braintree,,,,,,,,,
230,1,,Montello Commuter Rail Station - Quincy Center,,,,,,,,,
236,1,,South Shore Plaza - Quincy Center,,,,,,,,,
238,1,,Holbrook/Randolph Commuter Rail Station - Quincy Center,,,,,,,,,
240,1,,Avon Square - Ashmont,,,,,,,,,
245,1,,Quincy Center - Mattapan via Quarry Street & Edge Hill Road,,,,,,,,,
325,1,,Elm Street - Haymarket,,,,,,,,,
326,1,,West Medford - Haymarket,,,,,,,,,
350,1,,North Burlington - Alewife,,,,,,,,,
351,1,,Oak Park/Bedford Woods - Alewife,,,,,,,,,
352,1,,North Burlington - Downtown Boston,,,,,,,,,
354,1,,Burlington - Downtown Boston,,,,,,,,,
411,1,,Kennedy Drive or Jack Satter House - Malden Center,,,,,,,,,
424,1,,Eastern Avenue & Essex Street - Wonderland,,,,,,,,,
426,1,,"Central Square, Lynn - Haymarket or Wonderland via Cliftondale Square",,,,,,,,,
428,1,,Oaklandvale - Haymarket,,,,,,,,,
429,1,,"Northgate Shopping Center - Central Square, Lynn",,,,,,,,,
430,1,,Saugus Center - Malden Center,,,,,,,,,
434,1,,"Main Street, Peabody - Haymarket via Goodwin Circle",,,,,,,,,
435,1,,"Liberty Tree Mall - Central Square, Lynn or Neptune Towers via Peabody Square",,,,,,,,,
436,1,,"Liberty Tree Mall - Central Square, Lynn via Goodwin Circle",,,,,,,,,
439,1,,"Bass Point, Nahant - Wonderland or Central Square, Lynn",,,,,,,,,
441,1,,Marblehead - Wonderland via Paradise Road,,,,,,,,,
441442,1,,"Central Square, Lynn - Wonderland",,,,,,,,,
442,1,,Marblehead - Wonderland via Humphrey Street,,,,,,,,,
450,1,,Salem Depot - Haymarket or Wonderland,,,,,,,,,
451,1,,North Beverly - Salem Depot,,,,,,,,,
455,1,,Salem Depot - Wonderland,,,,,,,,,
456,1,,"Salem Depot - Central Square, Lynn",,,,,,,,,
465,1,,Danvers Square - Salem Depot,,,,,,,,,
501,1,,Brighton - Downtown Boston,,,,,,,,,
502,1,,Watertown Yard - Copley,,,,,,,,,
503,1,,Brighton - Copley,,,,,,,,,
504,1,,Watertown Yard - Downtown Boston,,,,,,,,,
505,1,,Waltham Center - Downtown Boston,,,,,,,,,
553,1,,Roberts - Downtown Boston,,,,,,,,,
554,1,,Waverley Square - Downtown Boston,,,,,,,,,
556,1,,Waltham Highlands - Downtown Boston,,,,,,,,,
558,1,,Riverside - Downtown Boston,,,,,,,,,
710,1,,"North Medford - Medford Square, Meadow Glen Mall, or Wellington",,,,,,,,,
712,1,,"Point Shirley, Winthrop - Orient Heights via Revere Street",,,,,,,,,
713,1,,"Point Shirley, Winthrop - Orient Heights via Winthrop Center",,,,,,,,,
714,1,,"Pemberton Point, Hull - Hingham",,,,,,,,,
716,1,,Cobbs Corner - Mattapan,,,,,,,,,
Shuttle-AlewifeHarvard,1,,Red Line Shuttle,,,,,,,,,
Shuttle-ForgeParkReadville,1,,Franklin Line Shuttle,,,,,,,,,
Shuttle-ForgeParkSouthStation,1,,Franklin Line Shuttle,,,,,,,,,
Shuttle-Generic,1,,Shuttle,,,,,,,,,
Shuttle-Generic-Blue,1,,Blue Line Shuttle,,,,,,,,,
Shuttle-Generic-CommuterRail,1,,Commuter Rail Shuttle,,,,,,,,,
Shuttle-Generic-CommuterRail-North,1,,Commuter Rail Shuttle,,,,,,,,,
Shuttle-Generic-CommuterRail-South,1,,Commuter Rail Shuttle,,,,,,,,,
Shuttle-Generic-Elevator,1,,Shuttle,,,,,,,,,
Shuttle-Generic-Fairmount,1,,Fairmount Line Shuttle,,,,,,,,,
Shuttle-Generic-Fitchburg,1,,Fitchburg Line Shuttle,,,,,,,,,
Shuttle-Generic-Franklin,1,,Franklin Line Shuttle,,,,,,,,,
Shuttle-Generic-Green,1,,Green Line Shuttle,,,,,,,,,
Shuttle-Generic-Green-B,1,,Green Line B Shuttle,,,,,,,,,
Shuttle-Generic-Greenbush,1,,Greenbush Line Shuttle,,,,,,,,,
Shuttle-Generic-Green-C,1,,Green Line C Shuttle,,,,,,,,,
Shuttle-Generic-Green-D,1,,Green Line D Shuttle,,,,,,,,,
Shuttle-Generic-Green-E,1,,Green Line E Shuttle,,,,,,,,,
Shuttle-Generic-Green-Trunk,1,,Green Line Subway Shuttle,,,,,,,,,
Shuttle-Generic-Haverhill,1,,Haverhill Line Shuttle,,,,,,,,,
Shuttle-Generic-Kingston,1,,Kingston/Plymouth Line Shuttle,,,,,,,,,
Shuttle-Generic-Lowell,1,,Lowell Line Shuttle,,,,,,,,,
Shuttle-Generic-Mattapan,1,,Mattapan Line Shuttle,,,,,,,,,
Shuttle-Generic-Middleborough,1,,Middleborough/Lakeville Line Shuttle,,,,,,,,,
Shuttle-Generic-Needham,1,,Needham Line Shuttle,,,,,,,,,
Shuttle-Generic-Newburyport,1,,Newburyport/Rockport Line Shuttle,,,,,,,,,
Shuttle-Generic-Orange,1,,Orange Line Shuttle,,,,,,,,,
Shuttle-Generic-Providence,1,,Providence/Stoughton Line Shuttle,,,,,,,,,
Shuttle-Generic-Red,1,,Red Line Shuttle,,,,,,,,,
Shuttle-Generic-Red-Ashmont,1,,Red Line Shuttle,,,,,,,,,
Shuttle-Generic-Red-Braintree,1,,Red Line Shuttle,,,,,,,,,
Shuttle-Generic-Red-Trunk,1,,Red Line Shuttle,,,,,,,,,
Shuttle-Generic-Worcester,1,,Framingham/Worcester Line Shuttle,,,,,,,,,
Shuttle-HaymarketSullivan,1,,Orange Line Shuttle,,,,,,,,,
Shuttle-KenmoreReservoir,1,,Green Line D Shuttle,,,,,,,,,
CR-Newburyport,1,,Newburyport/Rockport,,,,,,,,,
